Number of objects: 10000

Initial data:
Circle 36, 20, 50 blue
Triangle orange Area: 144.50
Triangle green Area: 144.50
Rectangle green Area: 144.00
Rectangle violet Area: 144.00
Triangle violet Area: 144.00
Rectangle green Area: 144.00
Triangle orange Area: 144.00
Rectangle red Area: 144.00
Rectangle indigo Area: 144.00
Rectangle indigo Area: 144.00
Rectangle green Area: 144.00
Rectangle yellow Area: 144.00
Triangle indigo Area: 144.00
Rectangle orange Area: 144.00
Rectangle orange Area: 144.00
Rectangle blue Area: 144.00
Rectangle yellow Area: 144.00
Rectangle orange Area: 144.00
Rectangle indigo Area: 144.00
Rectangle orange Area: 144.00
Rectangle orange Area: 144.00
Rectangle blue Area: 144.00
Rectangle red Area: 144.00
Rectangle yellow Area: 144.00
Rectangle indigo Area: 144.00
Triangle red Area: 143.50
Triangle violet Area: 143.50
Rectangle indigo Area: 143.00
Rectangle yellow Area: 143.00
Rectangle orange Area: 143.00
Rectangle blue Area: 143.00
Rectangle orange Area: 143.00
Triangle violet Area: 142.00
Triangle yellow Area: 141.50
Triangle violet Area: 141.50
Rectangle green Area: 141.00
Rectangle red Area: 141.00
Triangle orange Area: 141.00
Rectangle violet Area: 141.00
Triangle indigo Area: 141.00
Rectangle indigo Area: 141.00
Triangle blue Area: 141.00
Rectangle orange Area: 141.00
Triangle orange Area: 140.50
Triangle yellow Area: 140.50
Rectangle green Area: 140.00
Rectangle violet Area: 140.00
Rectangle violet Area: 140.00
Rectangle orange Area: 140.00
Rectangle red Area: 140.00
Rectangle orange Area: 140.00
Rectangle violet Area: 140.00
Triangle indigo Area: 140.00
Rectangle green Area: 140.00
Rectangle orange Area: 140.00
Triangle orange Area: 140.00
Rectangle yellow Area: 140.00
Triangle orange Area: 139.50
Triangle red Area: 139.50
Triangle orange Area: 139.50
Triangle orange Area: 139.00
Triangle blue Area: 139.00
Triangle orange Area: 138.50
Triangle red Area: 138.50
Triangle red Area: 138.50
Triangle blue Area: 138.00
Triangle violet Area: 138.00
Triangle indigo Area: 138.00
Rectangle orange Area: 138.00
Triangle indigo Area: 137.50
Triangle violet Area: 137.00
Triangle green Area: 136.50
Rectangle orange Area: 136.00
Rectangle orange Area: 136.00
Triangle yellow Area: 136.00
Rectangle blue Area: 136.00
Rectangle violet Area: 136.00
Rectangle orange Area: 136.00
Rectangle green Area: 136.00
Triangle yellow Area: 136.00
Rectangle red Area: 136.00
Rectangle indigo Area: 136.00
Rectangle indigo Area: 136.00
Rectangle violet Area: 135.00
Rectangle orange Area: 135.00
Rectangle yellow Area: 135.00
Rectangle red Area: 135.00
Rectangle blue Area: 135.00
Rectangle yellow Area: 135.00
Rectangle red Area: 135.00
Triangle yellow Area: 135.00
Rectangle orange Area: 135.00
Rectangle yellow Area: 135.00
Triangle indigo Area: 135.00
Triangle orange Area: 135.00
Triangle red Area: 135.00
Rectangle green Area: 135.00
Triangle indigo Area: 135.00
Triangle yellow Area: 135.00
Rectangle red Area: 135.00
Triangle blue Area: 134.50
Triangle orange Area: 134.50
Triangle orange Area: 134.00
Triangle orange Area: 133.50
Triangle violet Area: 133.00
Triangle green Area: 133.00
Triangle red Area: 132.50
Rectangle green Area: 132.00
Rectangle green Area: 132.00
Rectangle green Area: 132.00
Rectangle green Area: 132.00
Rectangle red Area: 132.00
Rectangle blue Area: 132.00
Rectangle indigo Area: 132.00
Triangle indigo Area: 132.00
Rectangle orange Area: 132.00
Rectangle red Area: 132.00
Rectangle yellow Area: 132.00
Rectangle green Area: 132.00
Triangle red Area: 131.50
Triangle orange Area: 131.50
Triangle indigo Area: 131.00
Triangle orange Area: 130.50
Triangle indigo Area: 130.00
Rectangle yellow Area: 130.00
Rectangle violet Area: 130.00
Triangle blue Area: 130.00
Rectangle red Area: 130.00
Rectangle violet Area: 130.00
Triangle indigo Area: 130.00
Rectangle green Area: 130.00
Rectangle blue Area: 130.00
Rectangle violet Area: 130.00
Rectangle blue Area: 130.00
Triangle blue Area: 129.50
Triangle indigo Area: 129.50
Triangle violet Area: 129.00
Triangle violet Area: 129.00
Triangle yellow Area: 129.00
Rectangle green Area: 129.00
Triangle red Area: 129.00
Triangle violet Area: 129.00
Triangle violet Area: 129.00
Triangle blue Area: 129.00
Rectangle orange Area: 129.00
Triangle yellow Area: 128.50
Triangle yellow Area: 128.50
Rectangle yellow Area: 128.00
Rectangle green Area: 128.00
Rectangle green Area: 128.00
Rectangle indigo Area: 128.00
Rectangle blue Area: 128.00
Rectangle red Area: 128.00
Rectangle yellow Area: 128.00
Rectangle orange Area: 128.00
Triangle red Area: 127.50
Triangle red Area: 127.50
Triangle green Area: 127.50
Triangle blue Area: 127.50
Triangle violet Area: 127.00
Triangle yellow Area: 127.00
Triangle red Area: 126.50
Rectangle indigo Area: 126.00
Rectangle violet Area: 126.00
Rectangle blue Area: 126.00
Rectangle orange Area: 126.00
Rectangle orange Area: 126.00
Rectangle yellow Area: 126.00
Triangle orange Area: 126.00
Triangle indigo Area: 125.00
Triangle violet Area: 125.00
Triangle violet Area: 124.50
Triangle violet Area: 124.50
Triangle orange Area: 124.50
Triangle violet Area: 124.50
Rectangle red Area: 124.00
Triangle indigo Area: 124.00
Triangle orange Area: 123.00
Rectangle blue Area: 123.00
Rectangle red Area: 123.00
Triangle violet Area: 123.00
Rectangle blue Area: 123.00
Triangle green Area: 122.00
Triangle violet Area: 122.00
Triangle red Area: 122.00
Triangle orange Area: 122.00
Triangle yellow Area: 122.00
Triangle blue Area: 121.50
Triangle yellow Area: 121.50
Triangle red Area: 121.00
Triangle green Area: 121.00
Triangle green Area: 121.00
Triangle indigo Area: 121.00
Rectangle red Area: 121.00
Triangle red Area: 120.50
Rectangle yellow Area: 120.00
Rectangle blue Area: 120.00
Rectangle violet Area: 120.00
Rectangle indigo Area: 120.00
Rectangle orange Area: 120.00
Rectangle red Area: 120.00
Rectangle blue Area: 120.00
Triangle yellow Area: 120.00
Rectangle red Area: 120.00
Rectangle blue Area: 120.00
Triangle yellow Area: 120.00
Rectangle orange Area: 120.00
Triangle yellow Area: 120.00
Rectangle green Area: 120.00
Rectangle indigo Area: 120.00
Rectangle violet Area: 120.00
Rectangle red Area: 120.00
Rectangle red Area: 120.00
Rectangle orange Area: 120.00
Triangle blue Area: 119.50
Triangle red Area: 119.50
Rectangle green Area: 119.00
Rectangle orange Area: 119.00
Triangle green Area: 118.50
Triangle violet Area: 118.50
Triangle violet Area: 118.50
Triangle green Area: 118.50
Triangle violet Area: 118.00
Triangle orange Area: 118.00
Triangle yellow Area: 118.00
Triangle orange Area: 117.50
Rectangle yellow Area: 117.00
Rectangle violet Area: 117.00
Rectangle green Area: 117.00
Rectangle indigo Area: 117.00
Triangle violet Area: 117.00
Triangle green Area: 116.50
Triangle yellow Area: 116.50
Triangle blue Area: 116.50
Rectangle yellow Area: 116.00
Rectangle orange Area: 116.00
Rectangle yellow Area: 116.00
Triangle orange Area: 116.00
Triangle indigo Area: 116.00
Rectangle green Area: 116.00
Triangle yellow Area: 115.50
Triangle green Area: 115.00
Rectangle indigo Area: 115.00
Rectangle indigo Area: 115.00
Triangle red Area: 115.00
Triangle blue Area: 114.50
Triangle indigo Area: 114.50
Triangle violet Area: 114.50
Triangle green Area: 114.00
Rectangle indigo Area: 114.00
Triangle yellow Area: 114.00
Triangle blue Area: 114.00
Triangle green Area: 114.00
Rectangle violet Area: 114.00
Triangle violet Area: 114.00
Rectangle violet Area: 114.00
Circle red Area: 113.10
Circle indigo Area: 113.10
Circle indigo Area: 113.10
Circle violet Area: 113.10
Circle red Area: 113.10
Circle indigo Area: 113.10
Circle orange Area: 113.10
Circle yellow Area: 113.10
Circle yellow Area: 113.10
Circle orange Area: 113.10
Circle green Area: 113.10
Circle blue Area: 113.10
Circle orange Area: 113.10
Circle blue Area: 113.10
Circle red Area: 113.10
Circle yellow Area: 113.10
Circle violet Area: 113.10
Circle blue Area: 113.10
Circle orange Area: 113.10
Circle red Area: 113.10
Circle blue Area: 113.10
Circle green Area: 113.10
Circle orange Area: 113.10
Circle yellow Area: 113.10
Circle yellow Area: 113.10
Circle indigo Area: 113.10
Circle violet Area: 113.10
Circle indigo Area: 113.10
Circle indigo Area: 113.10
Circle green Area: 113.10
Circle orange Area: 113.10
Circle orange Area: 113.10
Circle violet Area: 113.10
Circle red Area: 113.10
Circle green Area: 113.10
Circle green Area: 113.10
Circle yellow Area: 113.10
Circle red Area: 113.10
Circle green Area: 113.10
Circle red Area: 113.10
Circle orange Area: 113.10
Circle blue Area: 113.10
Circle yellow Area: 113.10
Circle indigo Area: 113.10
Circle yellow Area: 113.10
Circle green Area: 113.10
Circle indigo Area: 113.10
Circle indigo Area: 113.10
Circle yellow Area: 113.10
Circle green Area: 113.10
Circle yellow Area: 113.10
Circle violet Area: 113.10
Circle violet Area: 113.10
Circle yellow Area: 113.10
Circle violet Area: 113.10
Circle orange Area: 113.10
Circle yellow Area: 113.10
Circle yellow Area: 113.10
Circle orange Area: 113.10
Circle green Area: 113.10
Circle yellow Area: 113.10
Circle violet Area: 113.10
Circle orange Area: 113.10
Circle violet Area: 113.10
Circle indigo Area: 113.10
Circle indigo Area: 113.10
Circle yellow Area: 113.10
Circle green Area: 113.10
Circle violet Area: 113.10
Circle yellow Area: 113.10
Circle indigo Area: 113.10
Circle violet Area: 113.10
Circle indigo Area: 113.10
Triangle red Area: 113.00
Triangle violet Area: 113.00
Triangle violet Area: 113.00
Triangle green Area: 112.50
Triangle violet Area: 112.00
Rectangle yellow Area: 112.00
Triangle red Area: 112.00
Rectangle green Area: 112.00
Rectangle yellow Area: 112.00
Rectangle violet Area: 112.00
Triangle indigo Area: 112.00
Triangle violet Area: 112.00
Rectangle blue Area: 112.00
Rectangle yellow Area: 112.00
Rectangle green Area: 112.00
Rectangle yellow Area: 112.00
Rectangle orange Area: 111.00
Rectangle red Area: 111.00
Triangle green Area: 111.00
Triangle green Area: 111.00
Rectangle green Area: 111.00
Rectangle indigo Area: 111.00
Rectangle green Area: 110.00
Rectangle yellow Area: 110.00
Rectangle yellow Area: 110.00
Rectangle red Area: 110.00
Rectangle orange Area: 110.00
Triangle orange Area: 110.00
Rectangle orange Area: 110.00
Rectangle green Area: 110.00
Rectangle orange Area: 110.00
Rectangle indigo Area: 110.00
Triangle red Area: 109.50
Triangle yellow Area: 109.50
Triangle indigo Area: 109.00
Triangle orange Area: 109.00
Triangle blue Area: 109.00
Triangle blue Area: 108.50
Rectangle green Area: 108.00
Rectangle red Area: 108.00
Rectangle violet Area: 108.00
Rectangle green Area: 108.00
Rectangle red Area: 108.00
Rectangle violet Area: 108.00
Rectangle yellow Area: 108.00
Rectangle orange Area: 108.00
Rectangle yellow Area: 108.00
Rectangle blue Area: 108.00
Rectangle orange Area: 108.00
Rectangle blue Area: 108.00
Rectangle green Area: 108.00
Rectangle red Area: 108.00
Triangle red Area: 108.00
Rectangle indigo Area: 108.00
Rectangle blue Area: 108.00
Triangle blue Area: 108.00
Triangle green Area: 107.50
Triangle red Area: 106.00
Triangle indigo Area: 106.00
Triangle orange Area: 105.50
Triangle violet Area: 105.50
Rectangle red Area: 105.00
Rectangle yellow Area: 105.00
Triangle red Area: 105.00
Triangle indigo Area: 105.00
Triangle yellow Area: 105.00
Rectangle yellow Area: 105.00
Rectangle orange Area: 105.00
Rectangle red Area: 105.00
Rectangle indigo Area: 105.00
Rectangle red Area: 105.00
Rectangle orange Area: 105.00
Rectangle violet Area: 105.00
Triangle violet Area: 105.00
Rectangle blue Area: 105.00
Triangle blue Area: 104.50
Triangle green Area: 104.50
Rectangle violet Area: 104.00
Rectangle blue Area: 104.00
Rectangle green Area: 104.00
Triangle blue Area: 103.50
Triangle orange Area: 103.00
Triangle green Area: 103.00
Triangle violet Area: 103.00
Triangle indigo Area: 103.00
Triangle red Area: 102.50
Rectangle violet Area: 102.00
Rectangle indigo Area: 102.00
Rectangle indigo Area: 102.00
Rectangle indigo Area: 102.00
Triangle yellow Area: 102.00
Triangle indigo Area: 102.00
Rectangle red Area: 102.00
Rectangle yellow Area: 102.00
Rectangle red Area: 102.00
Rectangle indigo Area: 102.00
Rectangle red Area: 102.00
Triangle yellow Area: 101.00
Rectangle yellow Area: 100.00
Rectangle green Area: 100.00
Rectangle orange Area: 100.00
Rectangle yellow Area: 100.00
Rectangle indigo Area: 100.00
Triangle blue Area: 100.00
Rectangle indigo Area: 100.00
Rectangle red Area: 100.00
Triangle violet Area: 99.50
Triangle violet Area: 99.50
Triangle violet Area: 99.00
Triangle violet Area: 99.00
Rectangle orange Area: 99.00
Triangle red Area: 99.00
Rectangle yellow Area: 99.00
Triangle orange Area: 99.00
Triangle violet Area: 99.00
Triangle violet Area: 99.00
Rectangle yellow Area: 99.00
Rectangle red Area: 98.00
Rectangle blue Area: 98.00
Triangle red Area: 98.00
Rectangle yellow Area: 98.00
Rectangle orange Area: 98.00
Rectangle yellow Area: 98.00
Triangle violet Area: 97.50
Triangle green Area: 97.50
Triangle violet Area: 97.50
Triangle indigo Area: 97.00
Triangle violet Area: 96.50
Triangle violet Area: 96.50
Triangle violet Area: 96.50
Triangle orange Area: 96.50
Rectangle blue Area: 96.00
Rectangle yellow Area: 96.00
Rectangle indigo Area: 96.00
Rectangle red Area: 96.00
Rectangle orange Area: 96.00
Rectangle indigo Area: 96.00
Rectangle green Area: 96.00
Rectangle indigo Area: 96.00
Rectangle violet Area: 96.00
Rectangle indigo Area: 96.00
Rectangle blue Area: 96.00
Rectangle yellow Area: 96.00
Triangle red Area: 96.00
Rectangle orange Area: 96.00
Rectangle violet Area: 95.00
Rectangle red Area: 95.00
Rectangle violet Area: 95.00
Triangle red Area: 95.00
Triangle blue Area: 95.00
Triangle indigo Area: 95.00
Rectangle yellow Area: 95.00
Triangle green Area: 94.50
Rectangle violet Area: 94.00
Rectangle orange Area: 94.00
Triangle orange Area: 93.50
Triangle blue Area: 93.00
Rectangle red Area: 93.00
Triangle green Area: 93.00
Triangle yellow Area: 92.50
Triangle violet Area: 92.50
Triangle red Area: 92.50
Rectangle red Area: 92.00
Triangle indigo Area: 92.00
Rectangle blue Area: 92.00
Rectangle blue Area: 92.00
Rectangle red Area: 92.00
Triangle orange Area: 92.00
Rectangle violet Area: 92.00
Triangle orange Area: 92.00
Rectangle yellow Area: 91.00
Rectangle violet Area: 91.00
Rectangle green Area: 91.00
Triangle green Area: 91.00
Rectangle indigo Area: 91.00
Rectangle violet Area: 91.00
Triangle violet Area: 91.00
Rectangle violet Area: 91.00
Rectangle red Area: 90.00
Rectangle indigo Area: 90.00
Rectangle violet Area: 90.00
Rectangle indigo Area: 90.00
Rectangle orange Area: 90.00
Triangle blue Area: 90.00
Rectangle indigo Area: 90.00
Rectangle yellow Area: 90.00
Rectangle green Area: 90.00
Rectangle blue Area: 90.00
Triangle orange Area: 90.00
Rectangle indigo Area: 90.00
Rectangle yellow Area: 90.00
Triangle orange Area: 90.00
Triangle blue Area: 90.00
Rectangle orange Area: 90.00
Rectangle orange Area: 90.00
Rectangle yellow Area: 90.00
Rectangle blue Area: 90.00
Rectangle orange Area: 90.00
Triangle green Area: 90.00
Rectangle green Area: 90.00
Triangle blue Area: 90.00
Rectangle indigo Area: 90.00
Rectangle green Area: 90.00
Rectangle indigo Area: 90.00
Triangle orange Area: 89.50
Triangle violet Area: 89.50
Triangle violet Area: 89.50
Triangle yellow Area: 89.00
Triangle violet Area: 89.00
Triangle red Area: 89.00
Triangle red Area: 88.50
Rectangle blue Area: 88.00
Rectangle green Area: 88.00
Rectangle green Area: 88.00
Triangle orange Area: 88.00
Rectangle violet Area: 88.00
Triangle orange Area: 88.00
Rectangle yellow Area: 88.00
Rectangle orange Area: 88.00
Triangle indigo Area: 88.00
Triangle indigo Area: 88.00
Rectangle indigo Area: 88.00
Rectangle blue Area: 88.00
Rectangle indigo Area: 88.00
Rectangle orange Area: 88.00
Triangle indigo Area: 87.50
Triangle violet Area: 87.50
Triangle violet Area: 87.00
Triangle blue Area: 87.00
Rectangle orange Area: 87.00
Triangle blue Area: 87.00
Triangle violet Area: 87.00
Triangle red Area: 87.00
Rectangle blue Area: 86.00
Rectangle orange Area: 86.00
Triangle green Area: 85.50
Triangle blue Area: 85.00
Triangle red Area: 85.00
Rectangle orange Area: 85.00
Rectangle orange Area: 85.00
Rectangle green Area: 85.00
Triangle yellow Area: 85.00
Rectangle blue Area: 85.00
Rectangle indigo Area: 85.00
Triangle violet Area: 85.00
Triangle yellow Area: 84.50
Triangle orange Area: 84.50
Triangle blue Area: 84.00
Rectangle yellow Area: 84.00
Rectangle indigo Area: 84.00
Rectangle indigo Area: 84.00
Rectangle yellow Area: 84.00
Rectangle blue Area: 84.00
Rectangle blue Area: 84.00
Rectangle yellow Area: 84.00
Rectangle orange Area: 84.00
Rectangle violet Area: 84.00
Triangle blue Area: 83.50
Triangle red Area: 83.00
Triangle yellow Area: 82.50
Triangle blue Area: 82.50
Rectangle orange Area: 82.00
Triangle yellow Area: 82.00
Triangle orange Area: 82.00
Rectangle yellow Area: 82.00
Rectangle blue Area: 82.00
Rectangle indigo Area: 82.00
Triangle violet Area: 81.50
Triangle indigo Area: 81.00
Triangle green Area: 81.00
Triangle red Area: 81.00
Rectangle orange Area: 81.00
Rectangle orange Area: 81.00
Rectangle blue Area: 81.00
Rectangle orange Area: 81.00
Triangle indigo Area: 80.50
Triangle orange Area: 80.50
Rectangle orange Area: 80.00
Rectangle violet Area: 80.00
Rectangle blue Area: 80.00
Rectangle indigo Area: 80.00
Rectangle red Area: 80.00
Rectangle yellow Area: 80.00
Triangle blue Area: 80.00
Rectangle indigo Area: 80.00
Rectangle orange Area: 80.00
Rectangle green Area: 80.00
Rectangle indigo Area: 80.00
Triangle yellow Area: 79.50
Triangle green Area: 79.50
Triangle orange Area: 79.00
Circle blue Area: 78.54
Circle green Area: 78.54
Circle yellow Area: 78.54
Circle green Area: 78.54
Circle red Area: 78.54
Circle orange Area: 78.54
Circle red Area: 78.54
Circle violet Area: 78.54
Circle orange Area: 78.54
Circle violet Area: 78.54
Circle yellow Area: 78.54
Circle green Area: 78.54
Circle orange Area: 78.54
Circle yellow Area: 78.54
Circle green Area: 78.54
Circle yellow Area: 78.54
Circle yellow Area: 78.54
Circle indigo Area: 78.54
Circle red Area: 78.54
Circle blue Area: 78.54
Circle indigo Area: 78.54
Circle indigo Area: 78.54
Circle indigo Area: 78.54
Circle violet Area: 78.54
Circle yellow Area: 78.54
Circle violet Area: 78.54
Circle yellow Area: 78.54
Circle indigo Area: 78.54
Circle blue Area: 78.54
Circle indigo Area: 78.54
Circle violet Area: 78.54
Circle green Area: 78.54
Circle indigo Area: 78.54
Circle green Area: 78.54
Circle orange Area: 78.54
Circle blue Area: 78.54
Circle orange Area: 78.54
Circle green Area: 78.54
Circle yellow Area: 78.54
Circle red Area: 78.54
Circle yellow Area: 78.54
Circle red Area: 78.54
Circle blue Area: 78.54
Circle red Area: 78.54
Circle orange Area: 78.54
Circle yellow Area: 78.54
Circle orange Area: 78.54
Circle blue Area: 78.54
Circle red Area: 78.54
Circle orange Area: 78.54
Circle violet Area: 78.54
Circle blue Area: 78.54
Circle blue Area: 78.54
Circle violet Area: 78.54
Circle violet Area: 78.54
Circle indigo Area: 78.54
Circle violet Area: 78.54
Circle green Area: 78.54
Circle violet Area: 78.54
Circle orange Area: 78.54
Circle blue Area: 78.54
Triangle red Area: 78.50
Triangle yellow Area: 78.50
Rectangle yellow Area: 78.00
Rectangle yellow Area: 78.00
Rectangle red Area: 78.00
Rectangle orange Area: 78.00
Rectangle violet Area: 78.00
Triangle orange Area: 77.50
Rectangle violet Area: 77.00
Rectangle yellow Area: 77.00
Rectangle red Area: 77.00
Triangle red Area: 76.50
Triangle orange Area: 76.50
Triangle blue Area: 76.50
Triangle orange Area: 76.00
Rectangle violet Area: 76.00
Triangle orange Area: 76.00
Rectangle blue Area: 76.00
Rectangle orange Area: 76.00
Rectangle orange Area: 76.00
Triangle green Area: 76.00
Triangle blue Area: 76.00
Rectangle orange Area: 76.00
Rectangle red Area: 76.00
Rectangle green Area: 76.00
Rectangle yellow Area: 76.00
Triangle yellow Area: 75.50
Rectangle red Area: 75.00
Triangle indigo Area: 75.00
Rectangle green Area: 75.00
Rectangle yellow Area: 75.00
Rectangle blue Area: 75.00
Triangle violet Area: 75.00
Triangle orange Area: 75.00
Rectangle orange Area: 75.00
Rectangle red Area: 75.00
Rectangle red Area: 75.00
Rectangle green Area: 75.00
Rectangle orange Area: 75.00
Rectangle blue Area: 75.00
Triangle blue Area: 74.50
Rectangle blue Area: 74.00
Triangle blue Area: 74.00
Triangle green Area: 74.00
Rectangle violet Area: 74.00
Rectangle green Area: 74.00
Triangle yellow Area: 73.50
Triangle yellow Area: 73.50
Triangle yellow Area: 73.00
Triangle violet Area: 73.00
Triangle red Area: 72.50
Rectangle yellow Area: 72.00
Triangle red Area: 72.00
Rectangle orange Area: 72.00
Rectangle indigo Area: 72.00
Rectangle green Area: 72.00
Rectangle orange Area: 72.00
Rectangle yellow Area: 72.00
Rectangle blue Area: 72.00
Rectangle yellow Area: 72.00
Rectangle indigo Area: 72.00
Rectangle yellow Area: 72.00
Triangle violet Area: 70.50
Triangle orange Area: 70.50
Triangle red Area: 70.00
Rectangle red Area: 70.00
Rectangle yellow Area: 70.00
Rectangle blue Area: 70.00
Rectangle orange Area: 70.00
Triangle indigo Area: 70.00
Rectangle orange Area: 70.00
Rectangle red Area: 70.00
Rectangle blue Area: 70.00
Rectangle orange Area: 70.00
Rectangle violet Area: 70.00
Rectangle green Area: 70.00
Rectangle violet Area: 70.00
Rectangle indigo Area: 70.00
Rectangle violet Area: 70.00
Rectangle blue Area: 70.00
Rectangle blue Area: 70.00
Rectangle green Area: 69.00
Triangle yellow Area: 69.00
Rectangle blue Area: 69.00
Triangle yellow Area: 69.00
Triangle orange Area: 69.00
Rectangle red Area: 69.00
Triangle blue Area: 69.00
Rectangle red Area: 69.00
Rectangle green Area: 69.00
Triangle green Area: 68.50
Triangle orange Area: 68.50
Rectangle green Area: 68.00
Triangle red Area: 68.00
Rectangle green Area: 68.00
Rectangle yellow Area: 68.00
Rectangle indigo Area: 68.00
Triangle green Area: 67.50
Triangle yellow Area: 67.00
Triangle violet Area: 66.50
Rectangle indigo Area: 66.00
Rectangle blue Area: 66.00
Rectangle red Area: 66.00
Rectangle blue Area: 66.00
Rectangle violet Area: 66.00
Rectangle red Area: 66.00
Rectangle violet Area: 66.00
Triangle green Area: 66.00
Rectangle indigo Area: 65.00
Triangle indigo Area: 65.00
Rectangle red Area: 65.00
Triangle blue Area: 65.00
Rectangle red Area: 65.00
Rectangle red Area: 65.00
Triangle orange Area: 65.00
Triangle red Area: 64.50
Rectangle blue Area: 64.00
Rectangle violet Area: 64.00
Rectangle green Area: 64.00
Rectangle violet Area: 64.00
Rectangle yellow Area: 64.00
Triangle indigo Area: 63.50
Triangle violet Area: 63.50
Triangle yellow Area: 63.50
Triangle red Area: 63.50
Rectangle orange Area: 63.00
Triangle violet Area: 63.00
Rectangle blue Area: 63.00
Rectangle green Area: 63.00
Rectangle orange Area: 63.00
Rectangle violet Area: 63.00
Rectangle orange Area: 63.00
Rectangle indigo Area: 63.00
Triangle red Area: 63.00
Triangle orange Area: 63.00
Rectangle blue Area: 63.00
Rectangle blue Area: 63.00
Triangle red Area: 62.50
Rectangle violet Area: 62.00
Triangle violet Area: 62.00
Rectangle indigo Area: 62.00
Triangle green Area: 62.00
Triangle green Area: 62.00
Rectangle green Area: 62.00
Rectangle red Area: 62.00
Triangle violet Area: 61.50
Triangle blue Area: 61.00
Triangle green Area: 61.00
Triangle violet Area: 61.00
Triangle indigo Area: 60.50
Triangle green Area: 60.50
Rectangle indigo Area: 60.00
Rectangle violet Area: 60.00
Rectangle red Area: 60.00
Rectangle yellow Area: 60.00
Rectangle red Area: 60.00
Triangle violet Area: 60.00
Rectangle orange Area: 60.00
Rectangle red Area: 60.00
Rectangle red Area: 60.00
Triangle indigo Area: 59.50
Triangle blue Area: 59.50
Triangle blue Area: 59.00
Triangle blue Area: 58.00
Triangle orange Area: 58.00
Rectangle orange Area: 58.00
Triangle violet Area: 58.00
Triangle violet Area: 58.00
Rectangle violet Area: 58.00
Rectangle green Area: 58.00
Rectangle yellow Area: 58.00
Triangle violet Area: 58.00
Triangle blue Area: 58.00
Triangle blue Area: 58.00
Triangle green Area: 58.00
Triangle indigo Area: 57.50
Triangle indigo Area: 57.50
Rectangle orange Area: 57.00
Rectangle indigo Area: 57.00
Rectangle orange Area: 57.00
Triangle violet Area: 56.50
Triangle violet Area: 56.50
Triangle red Area: 56.50
Rectangle green Area: 56.00
Rectangle blue Area: 56.00
Triangle violet Area: 56.00
Rectangle blue Area: 56.00
Rectangle orange Area: 56.00
Rectangle red Area: 56.00
Rectangle violet Area: 56.00
Rectangle indigo Area: 56.00
Rectangle yellow Area: 56.00
Rectangle yellow Area: 56.00
Triangle orange Area: 55.50
Triangle blue Area: 55.50
Triangle red Area: 55.00
Rectangle red Area: 55.00
Triangle indigo Area: 55.00
Triangle orange Area: 54.50
Rectangle violet Area: 54.00
Rectangle yellow Area: 54.00
Rectangle indigo Area: 54.00
Triangle yellow Area: 54.00
Rectangle blue Area: 54.00
Triangle violet Area: 54.00
Rectangle green Area: 54.00
Rectangle blue Area: 54.00
Triangle violet Area: 53.50
Triangle violet Area: 53.50
Triangle blue Area: 53.00
Triangle yellow Area: 53.00
Triangle red Area: 52.50
Triangle blue Area: 52.50
Rectangle violet Area: 52.00
Rectangle red Area: 52.00
Triangle yellow Area: 52.00
Triangle orange Area: 52.00
Rectangle yellow Area: 52.00
Rectangle yellow Area: 52.00
Triangle orange Area: 52.00
Triangle red Area: 52.00
Triangle green Area: 52.00
Triangle violet Area: 51.00
Triangle indigo Area: 51.00
Rectangle orange Area: 51.00
Rectangle indigo Area: 51.00
Triangle yellow Area: 51.00
Rectangle red Area: 51.00
Rectangle orange Area: 51.00
Rectangle orange Area: 51.00
Triangle green Area: 51.00
Rectangle yellow Area: 51.00
Triangle indigo Area: 50.50
Circle orange Area: 50.27
Circle indigo Area: 50.27
Circle violet Area: 50.27
Circle orange Area: 50.27
Circle red Area: 50.27
Circle blue Area: 50.27
Circle blue Area: 50.27
Circle orange Area: 50.27
Circle red Area: 50.27
Circle violet Area: 50.27
Circle blue Area: 50.27
Circle blue Area: 50.27
Circle blue Area: 50.27
Circle indigo Area: 50.27
Circle blue Area: 50.27
Circle green Area: 50.27
Circle indigo Area: 50.27
Circle orange Area: 50.27
Circle yellow Area: 50.27
Circle red Area: 50.27
Circle yellow Area: 50.27
Circle orange Area: 50.27
Circle green Area: 50.27
Circle orange Area: 50.27
Circle red Area: 50.27
Circle yellow Area: 50.27
Circle indigo Area: 50.27
Circle red Area: 50.27
Circle green Area: 50.27
Circle blue Area: 50.27
Circle green Area: 50.27
Circle violet Area: 50.27
Circle yellow Area: 50.27
Circle blue Area: 50.27
Circle blue Area: 50.27
Circle blue Area: 50.27
Circle green Area: 50.27
Circle violet Area: 50.27
Circle yellow Area: 50.27
Circle violet Area: 50.27
Circle violet Area: 50.27
Circle indigo Area: 50.27
Circle yellow Area: 50.27
Circle green Area: 50.27
Circle indigo Area: 50.27
Circle violet Area: 50.27
Circle blue Area: 50.27
Circle blue Area: 50.27
Circle violet Area: 50.27
Circle yellow Area: 50.27
Circle indigo Area: 50.27
Circle blue Area: 50.27
Circle orange Area: 50.27
Circle violet Area: 50.27
Circle violet Area: 50.27
Circle yellow Area: 50.27
Circle red Area: 50.27
Circle orange Area: 50.27
Circle indigo Area: 50.27
Circle orange Area: 50.27
Circle indigo Area: 50.27
Circle blue Area: 50.27
Circle violet Area: 50.27
Circle violet Area: 50.27
Circle violet Area: 50.27
